station_code,basin,total_muestras,muestras_con_target,coliformes_fecales_pct_completo,temp_cent_pct_completo,ph_field_pct_completo,conductivity_pct_completo,dissolve_oxygen_field_pct_completo,dbo_pct_completo,dqo_pct_completo,amonio_field_pct_completo,total_p_pct_completo,total_n_pct_completo,ssv_pct_completo,sst_pct_completo,total_s_pct_completo,per_oxida_pct_completo,tensoactivo_pct_completo,nh3_pct_completo,plomo_pct_completo,cromo_pct_completo,isca_pct_completo,ph_lab_pct_completo,dissolve_oxygen_lab_pct_completo,amonnio_lab_pct_completo
AMO0,Arroyo Molino,73,73,100.0,97.3,79.5,100.0,95.9,37.0,0.0,31.5,39.7,39.7,0.0,38.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.9,39.7,39.7
AMO1,Arroyo Molino,103,102,99.0,91.3,43.7,98.1,55.3,40.8,8.7,22.3,39.8,22.3,4.9,31.1,3.9,0.0,0.0,0.0,6.8,6.8,0.0,77.7,43.7,42.7
AMO2,Arroyo Molino,130,128,98.5,87.7,46.2,93.8,56.2,54.6,8.5,17.7,56.2,39.2,3.8,48.5,1.5,0.0,0.0,0.0,4.6,4.6,0.0,69.2,58.5,58.5
CA1,Arroyo Carrasco,82,82,100.0,100.0,100.0,100.0,100.0,96.3,98.8,100.0,98.8,68.3,36.6,91.5,14.6,98.8,23.2,100.0,72.0,72.0,40.2,0.0,0.0,0.0
CA2,Arroyo Carrasco,45,45,100.0,100.0,100.0,100.0,100.0,95.6,97.8,100.0,100.0,44.4,66.7,86.7,26.7,97.8,0.0,100.0,84.4,84.4,0.0,0.0,0.0,0.0
CA3,Arroyo Carrasco,82,82,100.0,100.0,100.0,100.0,100.0,96.3,98.8,100.0,98.8,68.3,36.6,91.5,14.6,98.8,23.2,100.0,72.0,72.0,40.2,0.0,0.0,0.0
CDCH,Arroyo Carrasco,82,81,98.8,98.8,98.8,98.8,98.8,90.2,97.6,98.8,97.6,63.4,36.6,90.2,7.3,97.6,22.0,98.8,69.5,70.7,39.0,0.0,0.0,0.0
CDCN,Arroyo Carrasco,45,45,100.0,100.0,100.0,100.0,100.0,93.3,100.0,100.0,100.0,44.4,66.7,86.7,26.7,100.0,0.0,100.0,84.4,84.4,0.0,0.0,0.0,0.0
LP1,Arroyo Las Piedras,88,88,100.0,100.0,100.0,100.0,100.0,98.9,97.7,98.9,98.9,64.8,47.7,98.9,13.6,97.7,20.5,100.0,69.3,69.3,37.5,0.0,0.0,0.0
LP2,Arroyo Las Piedras,88,88,100.0,100.0,100.0,100.0,100.0,98.9,98.9,100.0,98.9,64.8,47.7,98.9,13.6,98.9,21.6,100.0,69.3,69.3,37.5,0.0,0.0,0.0
LP3,Arroyo Las Piedras,88,88,100.0,100.0,100.0,100.0,100.0,98.9,97.7,100.0,98.9,63.6,47.7,98.9,13.6,97.7,21.6,100.0,68.2,69.3,37.5,0.0,0.0,0.0
